"ID";"ID PARENT";"ID PROJET";"NOM";"ABREVIATION";"DESCRIPTION";"NOTES";"DATE_MAJ";"ID MODIFIER PAR";"ID ETAT"
1008;0;1;"Liste des types d'entité géographique";"8";"NULL";"Initialisation de la liste «8».";2009-03-19 13:07:46;1;1
2000;1004;1;"Portable";"GSM";"NULL";"Initialisation de la valeur «GSM» pour la liste «4».";2009-03-19 13:07:46;1;1
2001;1004;1;"Téléphone fixe";"FIX";"NULL";"Initialisation de la valeur «FIX» pour la liste «4».";2009-03-19 13:07:46;1;1
2002;1004;1;"Pager";"PAG";"NULL";"Initialisation de la valeur «PAG» pour la liste «4».";2009-03-19 13:07:47;1;1
2003;1004;1;"Fax";"FAX";"NULL";"Initialisation de la valeur «FAX» pour la liste «4».";2009-03-19 13:07:47;1;1
2004;1005;1;"Principal";"1";"Personne directement concernée par l'acte (naissance, baptême, décè).";;2009-08-04 22:08:00;1;1
2005;1005;1;"Père";"P";"Père de la personne directement concernée par l'acte.";;2009-08-04 22:08:00;1;1
2006;1005;1;"Mère";"M";"Mère de la personne directement concernée par l'acte.";;2009-08-04 22:08:00;1;1
2007;1005;1;"Témoin";"t";"Témoin de l'acte.";;2009-08-04 22:08:00;1;1
2008;1005;1;"Parrain";"p";"Parrain de la personne directement concernée par l'acte de baptême.";;2009-08-04 22:08:00;1;1
2009;1005;1;"Marraine";"m";"Marraine de la personne directement concernée par l'acte de baptême.";;2009-08-04 22:08:00;1;1
2010;1005;1;"Rédacteur";"r";"Rédacteur de l'acte.";;2009-08-04 22:08:00;1;1
2011;1005;1;"Époux";"épx";"Le marié.";;2009-08-04 22:08:00;1;1
2012;1005;1;"Épouse";"épse";"La mariée.";;2009-08-04 22:08:00;1;1
2013;1005;1;"Père de l'époux";"épx-P";"Père du marié.";;2009-08-04 22:08:00;1;1
2014;1005;1;"Mère de l'époux";"épx-M";"Mère du marié.";;2009-08-04 22:08:00;1;1
2015;1005;1;"Père de l'épouse";"épse-P";"Père de la mariée.";;2009-08-04 22:08:00;1;1
2016;1005;1;"Mère de l'épouse";"épse-M";"Mère de la mariée.";;2009-08-04 22:08:00;1;1
